block,file,source_wav,text,note
emotions,audio/emotions_00.mp3,eval_iter4_cfg/cfg1_neutral/wavs/text0_neutral_a0.4567.wav,他把书放回书架的第二层。,
emotions,audio/emotions_01.mp3,eval_iter4_cfg/cfg1_happy/wavs/text0_happy_a0.5783.wav,他把书放回书架的第二层。,
emotions,audio/emotions_02.mp3,eval_iter4_cfg/cfg1_sad/wavs/text0_sad_a0.3983.wav,他把书放回书架的第二层。,
emotions,audio/emotions_03.mp3,eval_iter4_cfg/cfg1_angry/wavs/text0_angry_a0.695.wav,他把书放回书架的第二层。,
emotions,audio/emotions_04.mp3,eval_iter4_cfg/cfg1_surprise/wavs/text0_surprise_a0.6383.wav,他把书放回书架的第二层。,
emotions,audio/emotions_05.mp3,eval_iter4_cfg/cfg1_fear/wavs/text0_fear_anan.wav,他把书放回书架的第二层。,
emotions,audio/emotions_06.mp3,eval_iter4_cfg/cfg1_disgust/wavs/text0_disgust_anan.wav,他把书放回书架的第二层。,
intensity,audio/intensity_00.mp3,eval_iter4_cfg/cfg0_angry/wavs/text0_angry_a0.695.wav,他把书放回书架的第二层。,
intensity,audio/intensity_01.mp3,eval_iter4_cfg/cfg1_angry/wavs/text0_angry_a0.695.wav,他把书放回书架的第二层。,
intensity,audio/intensity_02.mp3,eval_iter4_cfg/cfg2_angry/wavs/text0_angry_a0.695.wav,他把书放回书架的第二层。,
intensity,audio/intensity_03.mp3,eval_iter4_cfg/cfg0_happy/wavs/text0_happy_a0.5783.wav,他把书放回书架的第二层。,
intensity,audio/intensity_04.mp3,eval_iter4_cfg/cfg1_happy/wavs/text0_happy_a0.5783.wav,他把书放回书架的第二层。,
intensity,audio/intensity_05.mp3,eval_iter4_cfg/cfg2_happy/wavs/text0_happy_a0.5783.wav,他把书放回书架的第二层。,
intensity,audio/intensity_06.mp3,eval_iter4_cfg/cfg0_sad/wavs/text0_sad_a0.3983.wav,他把书放回书架的第二层。,
intensity,audio/intensity_07.mp3,eval_iter4_cfg/cfg1_sad/wavs/text0_sad_a0.3983.wav,他把书放回书架的第二层。,
intensity,audio/intensity_08.mp3,eval_iter4_cfg/cfg2_sad/wavs/text0_sad_a0.3983.wav,他把书放回书架的第二层。,
intensity,audio/intensity_09.mp3,eval_iter4_cfg/cfg0_fear/wavs/text0_fear_anan.wav,他把书放回书架的第二层。,
intensity,audio/intensity_10.mp3,eval_iter4_cfg/cfg1_fear/wavs/text0_fear_anan.wav,他把书放回书架的第二层。,
intensity,audio/intensity_11.mp3,eval_iter4_cfg/cfg2_fear/wavs/text0_fear_anan.wav,他把书放回书架的第二层。,
intensity,audio/intensity_12.mp3,eval_iter4_cfg/cfg0_disgust/wavs/text0_disgust_anan.wav,他把书放回书架的第二层。,
intensity,audio/intensity_13.mp3,eval_iter4_cfg/cfg1_disgust/wavs/text0_disgust_anan.wav,他把书放回书架的第二层。,
intensity,audio/intensity_14.mp3,eval_iter4_cfg/cfg2_disgust/wavs/text0_disgust_anan.wav,他把书放回书架的第二层。,
cer,audio/cer_00.mp3,eval_zh_sweep/zh_iter2_e29_cfg1/wavs/text1_angry_a0.4.wav,昨天晚上下了好大的雨还打雷。,字元錯誤率 1.08；辨識為「哎呀有何的事別哀我有褲子要揮」
cer,audio/cer_01.mp3,eval_zh_sweep/zh_iter4_e37_cfg1/wavs/text1_angry_a0.4.wav,昨天晚上下了好大的雨还打雷。,字元錯誤率 0.00；辨識為「昨天晚上下了好大的雨還打雷」
cer,audio/cer_02.mp3,eval_zh_sweep/zh_iter2_e29_cfg1/wavs/text1_happy_a0.8.wav,昨天晚上下了好大的雨还打雷。,字元錯誤率 1.54；辨識為「我的媽媽也是看到頭七的缺素頭七的頭七頭七的」
cer,audio/cer_03.mp3,eval_zh_sweep/zh_iter4_e37_cfg1/wavs/text1_happy_a0.8.wav,昨天晚上下了好大的雨还打雷。,字元錯誤率 0.00；辨識為「昨天晚上下了好大的雨還打雷」
cer,audio/cer_04.mp3,eval_zh_sweep/zh_iter2_e29_cfg1/wavs/text1_neutral_a0.1.wav,昨天晚上下了好大的雨还打雷。,字元錯誤率 1.31；辨識為「我一直在處理一直在撤家裡後的yes」
cer,audio/cer_05.mp3,eval_zh_sweep/zh_iter4_e37_cfg1/wavs/text1_neutral_a0.1.wav,昨天晚上下了好大的雨还打雷。,字元錯誤率 0.00；辨識為「昨天晚上下了好大的雨還打雷」
steering,audio/steering_00.mp3,listening_test_blockA/wavs/s001.wav,The library added several new titles to its shelves.,注入強度 α = -2；預測激發度 0.397
steering,audio/steering_01.mp3,listening_test_blockA/wavs/s002.wav,The library added several new titles to its shelves.,注入強度 α = +0；預測激發度 0.459
steering,audio/steering_02.mp3,listening_test_blockA/wavs/s004.wav,The library added several new titles to its shelves.,注入強度 α = +2；預測激發度 0.490
steering,audio/steering_03.mp3,listening_test_blockA/wavs/s013.wav,今天的天气有点潮湿但还算温暖,注入強度 α = -3；預測激發度 0.218
steering,audio/steering_04.mp3,listening_test_blockA/wavs/s015.wav,今天的天气有点潮湿但还算温暖,注入強度 α = +0；預測激發度 0.450
steering,audio/steering_05.mp3,listening_test_blockA/wavs/s016.wav,今天的天气有点潮湿但还算温暖,注入強度 α = +3；預測激發度 0.579
